Site_ID,year
21-117-0007,2003
21-117-0007,2004
21-117-0007,2005
21-117-0007,2006
21-117-0007,2007
21-117-0007,2008
21-125-0004,2003
21-125-0004,2004
21-125-0004,2005
21-125-0004,2006
21-145-1004,2002
21-145-1004,2003
21-145-1004,2004
21-145-1004,2005
21-145-1004,2006
21-193-0003,2002
21-193-0003,2003
21-193-0003,2004
21-193-0003,2005
21-193-0003,2006
21-193-0003,2007
21-193-0003,2008
21-221-8001,2002
21-221-8001,2003
21-221-8001,2004
21-221-8001,2005
21-221-8001,2006
21-221-8001,2007
21-221-8001,2008
21-221-9000,2002
21-221-9000,2003
21-221-9000,2004
21-221-9000,2005
21-221-9000,2006
21-221-9000,2007
21-221-9000,2008
21-227-0007,2002
21-227-0007,2003
21-227-0007,2004
21-227-0007,2005
21-227-0007,2006
22-015-0008,2003
22-015-0008,2004
22-015-0008,2005
22-015-0008,2006
22-015-0008,2008
22-033-0009,2002
22-033-0009,2003
22-033-0009,2004
22-033-0009,2006
22-033-0009,2007
22-033-0009,2008
22-127-9000,2002
22-127-9000,2003
22-127-9000,2004
22-127-9000,2005
22-127-9000,2006
22-127-9000,2007
22-127-9000,2008
23-003-1020,2002
23-003-1020,2003
23-003-1020,2004
23-003-1020,2005
23-003-1020,2006
23-003-1020,2007
23-003-1020,2008
23-005-0002,2002
23-005-0002,2003
23-005-0002,2004
23-005-0002,2005
23-005-0002,2006
23-005-0002,2007
23-005-0002,2008
23-005-0103,2002
23-005-0103,2003
23-005-0103,2004
23-005-0103,2005
23-005-0103,2006
23-005-0103,2007
23-005-0103,2008
23-005-9002,2002
23-005-9002,2003
23-005-9002,2004
23-005-9002,2005
23-005-9002,2006
23-005-9002,2007
23-005-9002,2008
23-009-0103,2005
23-009-0103,2006
23-009-0103,2008
23-019-4003,2002
23-019-4003,2003
23-019-4003,2004
23-019-4003,2005
23-019-4003,2006
23-029-1004,2000
23-029-1004,2001
23-029-1004,2002
23-029-1004,2003
23-029-1004,2004
23-029-1004,2005
23-029-1004,2006
23-029-1004,2007
23-029-1004,2008
24-005-3001,2001
24-005-3001,2002
24-005-3001,2003
24-005-3001,2005
24-005-3001,2006
24-005-3001,2007
24-023-0002,2005
24-023-0002,2006
24-023-0002,2007
24-023-0002,2008
24-023-9000,2005
24-023-9000,2006
24-023-9000,2007
24-023-9000,2008
24-033-0030,2005
24-033-0030,2006
24-033-0030,2007
24-033-0030,2008
25-001-0002,2002
25-001-0002,2003
25-001-0002,2004
25-001-0002,2005
25-001-0002,2006
25-001-0002,2007
25-001-0002,2008
25-007-0001,2004
25-007-0001,2005
25-007-0001,2006
25-007-0001,2007
25-007-0001,2008
25-013-0008,2002
25-013-0008,2004
25-013-0008,2005
25-013-0008,2007
25-013-0008,2008
25-015-4002,2002
25-015-4002,2003
25-015-4002,2004
25-015-4002,2005
25-015-4002,2006
25-015-4002,2007
25-015-4002,2008
25-025-0042,2001
25-025-0042,2002
25-025-0042,2003
25-025-0042,2004
25-025-0042,2005
25-025-0042,2006
25-025-0042,2007
25-025-0042,2008
26-033-0901,2002
26-033-0901,2003
26-033-0901,2004
26-033-0901,2005
26-033-0901,2006
26-077-0008,2004
26-077-0008,2005
26-077-0008,2006
26-077-0008,2007
26-077-0008,2008
26-081-0020,2003
26-081-0020,2004
26-081-0020,2005
26-081-0020,2006
26-081-0020,2007
26-081-0020,2008
26-083-9001,2000
26-083-9001,2001
26-083-9001,2002
26-083-9001,2003
26-083-9001,2004
26-113-0001,2003
26-113-0001,2004
26-113-0001,2005
26-113-0001,2006
26-113-0001,2007
26-113-0001,2008
26-115-0005,2003
26-115-0005,2004
26-115-0005,2005
26-115-0005,2006
26-115-0005,2007
26-115-0005,2008
26-153-0001,2000
26-153-0001,2001
26-153-0001,2002
26-153-0001,2003
26-153-0001,2004
26-153-0001,2005
26-153-0001,2006
26-153-0001,2007
26-153-0001,2008
26-153-9000,2000
26-153-9000,2001
26-153-9000,2002
26-153-9000,2003
26-153-9000,2004
26-153-9000,2005
26-153-9000,2006
26-153-9000,2007
26-153-9000,2008
26-163-0001,2001
26-163-0001,2002
26-163-0001,2003
26-163-0001,2004
26-163-0001,2005
26-163-0001,2006
26-163-0001,2007
26-163-0001,2008
